2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 4 1 1 399.48 25
updateMktDepth 1002 5 1 1 399.47 31
updateMktDepth 1002 6 1 1 399.46 19
updateMktDepth 1002 7 1 1 399.45 43
updateMktDepth 1002 8 1 1 399.44 23
updateMktDepth 1002 9 1 1 399.43 23
updateMktDepth 1002 10 1 1 399.42 28
updateMktDepth 1002 11 1 1 399.41 18
updateMktDepth 1002 12 1 1 399.4 33
updateMktDepth 1002 13 1 1 399.39 18
updateMktDepth 1002 14 1 1 399.38 19
updateMktDepth 1002 15 1 1 399.37 19
updateMktDepth 1002 16 1 1 399.36 19
updateMktDepth 1002 17 1 1 399.35 22
updateMktDepth 1002 18 1 1 399.34 20
updateMktDepth 1002 19 1 1 399.33 22
updateMktDepth 1002 20 1 1 399.32 28
updateMktDepth 1002 21 1 1 399.31 24
updateMktDepth 1002 22 1 1 399.3 20
updateMktDepth 1002 23 1 1 399.29 15
updateMktDepth 1002 24 1 1 399.28 15
updateMktDepth 1002 25 1 1 399.27 15
updateMktDepth 1002 26 1 1 399.26 4
updateMktDepth 1002 27 1 1 399.25 4
updateMktDepth 1002 28 1 1 399.24 10
updateMktDepth 1002 29 1 1 399.23 3
updateMktDepth 1002 30 1 1 399.22 2
updateMktDepth 1002 31 1 1 399.21 3
updateMktDepth 1002 32 1 1 399.2 8
updateMktDepth 1002 33 1 1 399.19 2
updateMktDepth 1002 34 1 1 399.18 3
updateMktDepth 1002 35 1 1 399.17 7
updateMktDepth 1002 36 1 1 399.16 2
updateMktDepth 1002 37 1 1 399.15 19
updateMktDepth 1002 38 1 1 399.14 2
updateMktDepth 1002 39 1 1 399.13 2
updateMktDepth 1002 40 1 1 399.12 7
updateMktDepth 1002 41 1 1 399.11 2
updateMktDepth 1002 42 1 1 399.1 3
updateMktDepth 1002 43 1 1 399.09 3
updateMktDepth 1002 44 1 1 399.08 19
